"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"phi[11]",-0.2503,0.0704,-0.3828,-0.2982,-0.2529,-0.2061,-0.0986,1.0103,270
"phi[12]",-0.2565,0.125,-0.4665,-0.3547,-0.2644,-0.1656,-0.0106,1.0233,78
"phi[13]",0.0215,0.2194,-0.3893,-0.1429,0.0367,0.2014,0.3728,1.0718,26
"phi[14]",0.1814,0.2241,-0.3451,0.0473,0.247,0.3518,0.482,1.029,150
"phi[15]",0.1507,0.1251,-0.0636,0.0505,0.1428,0.2414,0.4018,1.1187,19
"phi[16]",-0.0397,0.065,-0.1638,-0.0841,-0.0405,0.0051,0.0834,1.0153,280
"phi[17]",0.1276,0.1058,-0.0494,0.0494,0.1249,0.1935,0.3466,1.0791,27
"phi[18]",-0.2236,0.0505,-0.3273,-0.2592,-0.2193,-0.1857,-0.1389,1.0501,36
"phi[19]",0.238,0.1318,-0.0311,0.1565,0.2453,0.3307,0.4705,1.0042,730
"phi[20]",-0.1129,0.0435,-0.1983,-0.1418,-0.1157,-0.0833,-0.0232,1.0651,32
"psi[1]",0.6513,0.0644,0.5364,0.6049,0.6471,0.6945,0.7843,1.0035,1300
"psi[2]",0.2779,0.0756,0.106,0.2285,0.2918,0.3332,0.3958,1.0928,85
"psi[3]",0.1334,0.0738,0.028,0.0727,0.1225,0.1851,0.2954,1.0132,120
"psi[4]",0.1406,0.0776,0.0304,0.0751,0.13,0.1953,0.3084,1.0008,5000
"psi[5]",0.6268,0.056,0.5206,0.5871,0.6261,0.6641,0.742,1.006,290
"psi[6]",0.1372,0.0749,0.0277,0.0741,0.127,0.1916,0.2931,1.001,5000
"psi[7]",0.6519,0.062,0.5386,0.6103,0.649,0.6914,0.7824,1.0185,570
"psi[8]",0.7022,0.0522,0.6095,0.6651,0.6996,0.735,0.8112,1.0105,200
"psi[9]",0.357,0.098,0.1293,0.2992,0.3711,0.4279,0.5196,1.0008,5000
"psi[10]",0.5701,0.0519,0.4719,0.535,0.5671,0.6027,0.6795,1.0057,1700
"psi[11]",0.6523,0.0485,0.5664,0.619,0.6487,0.6829,0.757,1.0069,250
"psi[12]",0.3306,0.0855,0.1623,0.2693,0.336,0.3948,0.4799,1.0153,110
"psi[13]",0.1696,0.097,0.0295,0.0879,0.1576,0.2404,0.3676,1.0208,78
"psi[14]",0.2551,0.1233,0.0412,0.1542,0.2622,0.3528,0.4703,1.0017,1700
"psi[15]",0.3041,0.0732,0.1541,0.2506,0.3064,0.3567,0.4369,1.1259,18
"psi[16]",0.4924,0.1009,0.226,0.4521,0.512,0.5595,0.6366,1.0417,790
"psi[17]",0.4161,0.0876,0.2512,0.3533,0.4149,0.4772,0.5874,1.0263,80
"psi[18]",0.3279,0.0847,0.146,0.2701,0.3366,0.3919,0.4652,1.0483,160
"psi[19]",0.2837,0.0884,0.0966,0.2243,0.2969,0.35,0.4286,1.0008,5000
"psi[20]",0.3564,0.1025,0.1358,0.2897,0.3653,0.4334,0.5265,1.0013,3300
"theta[1]",0.9062,0.6411,-0.2777,0.4635,0.8733,1.323,2.2243,1.0009,5000
"theta[2]",-0.7012,0.5075,-1.6493,-1.056,-0.7191,-0.3581,0.3065,1.0019,1400
"theta[3]",0.6959,0.5838,-0.4248,0.3115,0.6882,1.0712,1.8775,1.0009,5000
"theta[4]",0.5225,0.5053,-0.4258,0.1748,0.5131,0.8482,1.5518,1.0015,2000
"theta[5]",-0.1933,0.564,-1.2248,-0.5931,-0.2049,0.1666,0.9839,1.0009,5000
"theta[6]",1.0371,0.5975,-0.1083,0.6298,1.03,1.4355,2.2416,1.0014,2500
"theta[7]",-1.4189,0.3836,-2.1621,-1.6764,-1.4211,-1.1613,-0.6568,1.0008,5000
"theta[8]",0.1983,0.6188,-0.9562,-0.2275,0.1845,0.6124,1.4442,1.0018,1800
"theta[9]",0.8242,0.6946,-0.4613,0.3447,0.7943,1.2613,2.2721,1.001,5000
"theta[10]",-0.1858,0.5426,-1.2109,-0.5478,-0.2122,0.1704,0.9039,1.0012,3400
"theta[11]",1.0299,0.5412,0.0174,0.6649,1.0047,1.3677,2.1625,1.0016,2200
"theta[12]",-0.3763,0.5911,-1.465,-0.7858,-0.3914,-0.0072,0.8668,1.0018,1500
"theta[13]",0.6888,0.6638,-0.5108,0.227,0.6702,1.1045,2.0526,1.0014,2700
"theta[14]",-0.7211,0.5343,-1.7074,-1.0889,-0.7466,-0.3719,0.394,1.0009,5000
"theta[15]",-0.5798,0.5051,-1.5127,-0.9254,-0.5893,-0.2502,0.4568,1.0017,1600
"theta[16]",-1.1202,0.464,-1.9852,-1.4472,-1.1412,-0.8145,-0.1537,1.0008,5000
"theta[17]",-1.7671,0.4492,-2.6415,-2.0687,-1.7629,-1.4627,-0.9081,1.0068,250
"theta[18]",0.9953,0.6109,-0.1767,0.5752,0.981,1.3918,2.2407,1.0009,5000
"theta[19]",1.2451,0.6966,-0.0422,0.7692,1.2063,1.7097,2.6536,1.0008,5000
"theta[20]",-0.6025,0.5229,-1.5598,-0.9713,-0.624,-0.254,0.4891,1.002,1500
"theta[21]",1.2263,0.6733,-0.0354,0.7727,1.1985,1.6639,2.5791,1.0008,5000
"theta[22]",-0.709,0.5086,-1.6418,-1.0676,-0.7257,-0.3668,0.3063,1.0017,1600
"theta[23]",0.9605,0.6606,-0.2658,0.5119,0.9333,1.3775,2.3288,1.0014,2400
"theta[24]",-0.1668,0.4654,-1.0671,-0.4794,-0.1713,0.1328,0.7955,1.0008,5000
"theta[25]",-1.0277,0.4619,-1.9203,-1.339,-1.0396,-0.7223,-0.087,1.0014,2400
"theta[26]",-1.6412,0.4161,-2.4448,-1.9155,-1.641,-1.3668,-0.8231,1.0022,1100
"theta[27]",0.7186,0.7217,-0.5898,0.2074,0.6794,1.1897,2.2323,1.004,2100
"theta[28]",-0.0476,0.5926,-1.149,-0.4576,-0.0727,0.3512,1.1574,1.0009,5000
"theta[29]",-1.0143,0.404,-1.7914,-1.2884,-1.0193,-0.7365,-0.1945,1.0011,5000
"theta[30]",0.2554,0.6252,-0.8776,-0.1841,0.2091,0.6643,1.5885,1.0009,5000
"theta[31]",0.5447,0.6423,-0.6252,0.1001,0.5106,0.9587,1.8539,1.0029,5000
"theta[32]",0.1828,0.6086,-0.9713,-0.2514,0.1626,0.5816,1.4153,1.0023,990
"theta[33]",-0.125,0.5457,-1.1637,-0.5052,-0.1338,0.2349,0.9767,1.0011,5000
"theta[34]",-0.5315,0.5304,-1.5247,-0.8925,-0.5539,-0.192,0.5795,1.0009,5000
"theta[35]",-0.2107,0.566,-1.2686,-0.596,-0.2242,0.1514,0.935,1.0029,730
"theta[36]",0.135,0.5758,-0.9496,-0.2632,0.1291,0.509,1.2928,1.0009,5000
"theta[37]",0.591,0.6489,-0.6242,0.1501,0.556,1.0097,1.9446,1.001,5000
"theta[38]",0.3476,0.6281,-0.7951,-0.0924,0.3196,0.7703,1.6413,1.0011,4400
"theta[39]",1.0726,0.7733,-0.329,0.5326,1.0219,1.5899,2.669,1.0023,1000
"theta[40]",0.2158,0.6249,-0.9557,-0.2182,0.2018,0.6275,1.4566,1.0025,860
"theta[41]",0.7103,0.6738,-0.5575,0.2527,0.677,1.1512,2.0982,1.0032,890
"theta[42]",0.8243,0.701,-0.4967,0.3438,0.8102,1.281,2.2403,1.0011,4500
"theta[43]",0.3707,0.5794,-0.739,-0.0252,0.3507,0.7445,1.564,1.0008,5000
"theta[44]",-0.5741,0.5064,-1.5416,-0.9258,-0.5783,-0.2475,0.4329,1.004,470
"theta[45]",0.5202,0.6572,-0.7097,0.0508,0.4994,0.9732,1.8353,1.0008,5000
"theta[46]",0.175,0.5679,-0.8947,-0.2129,0.1652,0.5535,1.2752,1.0019,1300
"theta[47]",0.4882,0.6535,-0.6633,0.0327,0.4526,0.8799,1.9086,1.0036,740
"theta[48]",0.5047,0.6574,-0.6966,0.04,0.4867,0.9395,1.896,1.0037,510
"theta[49]",-0.584,0.5216,-1.5442,-0.9425,-0.6017,-0.2334,0.457,1.001,5000
"theta[50]",-0.695,0.507,-1.6399,-1.0327,-0.7144,-0.3642,0.3286,1.0008,5000
"theta[51]",-0.0904,0.6118,-1.196,-0.5254,-0.1313,0.3123,1.1827,1.0009,5000
"theta[52]",-0.7685,0.4421,-1.6095,-1.072,-0.7701,-0.4645,0.1032,1.0013,5000
"theta[53]",0.1021,0.5116,-0.837,-0.2551,0.0792,0.4375,1.1374,1.0008,5000
"theta[54]",0.802,0.7494,-0.5458,0.2937,0.7546,1.2898,2.3981,1.001,5000
"theta[55]",-0.5303,0.4734,-1.4002,-0.8594,-0.5421,-0.2172,0.4489,1.0013,3100
"theta[56]",-0.9415,0.4656,-1.853,-1.2476,-0.9436,-0.626,-0.0385,1.0009,5000
"theta[57]",-0.4626,0.535,-1.4445,-0.834,-0.4888,-0.1177,0.6575,1.0063,270
"theta[58]",-1.6126,0.417,-2.4026,-1.9045,-1.6139,-1.3325,-0.7682,1.0012,3500
"theta[59]",0.7336,0.6373,-0.4899,0.3006,0.7158,1.1505,2.0408,1.0015,2300
"theta[60]",-0.1615,0.4565,-1.0125,-0.4892,-0.1777,0.1422,0.7602,1.0009,5000
"theta[61]",-0.0744,0.5829,-1.1108,-0.4829,-0.1079,0.2991,1.1306,1.0026,850
"theta[62]",0.5147,0.6686,-0.7389,0.0583,0.4837,0.951,1.9093,1.0018,1600
