"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[124]",-0.1885,0.4896,-1.1153,-0.5192,-0.1919,0.1331,0.8175,1.0022,1100
"theta[125]",1.2587,0.7045,-0.0652,0.7733,1.2552,1.7271,2.7064,1.0008,5000
"theta[126]",0.7594,0.6899,-0.5128,0.2764,0.734,1.2356,2.1458,1.0024,930
"theta[127]",1.3314,0.744,-0.0621,0.8143,1.3253,1.8285,2.8199,1.0021,5000
"theta[128]",-1.1215,0.4436,-1.9672,-1.433,-1.1332,-0.8256,-0.2045,1.0009,5000
"theta[129]",0.9597,0.6511,-0.2325,0.5134,0.9289,1.3773,2.3445,1.0019,5000
"theta[130]",0.1587,0.61,-0.9641,-0.2687,0.1257,0.5591,1.4058,1.0082,200
"theta[131]",0.9166,0.6957,-0.3873,0.4301,0.8897,1.369,2.3476,1.0031,650
"theta[132]",-0.0322,0.551,-1.0632,-0.4242,-0.0514,0.3326,1.0921,1.0014,2400
"theta[133]",0.8192,0.7493,-0.5124,0.3013,0.7823,1.2953,2.4307,1.0055,320
"theta[134]",-0.3959,0.541,-1.3718,-0.7676,-0.4305,-0.0538,0.7609,1.0008,5000
"theta[135]",-1.0281,0.4417,-1.8654,-1.324,-1.0358,-0.7327,-0.1503,1.0009,5000
"theta[136]",0.7979,0.6226,-0.3627,0.3702,0.7759,1.2068,2.0831,1.002,1300
"theta[137]",-0.3394,0.5265,-1.3403,-0.7027,-0.3572,0.0071,0.7205,1.001,5000
"theta[138]",0.1891,0.6332,-0.9445,-0.2536,0.1571,0.6006,1.5337,1.0008,5000
"theta[139]",-0.137,0.574,-1.1963,-0.5298,-0.1606,0.239,1.0251,1.0017,1700
"theta[140]",0.2883,0.6812,-0.929,-0.1885,0.2398,0.7282,1.7306,1.0009,5000
"theta[141]",-1.0568,0.4406,-1.8893,-1.3563,-1.0644,-0.7666,-0.1666,1.0009,5000
"theta[142]",-1.1455,0.4261,-1.996,-1.4227,-1.1506,-0.8574,-0.313,1.0013,3200
"theta[143]",-0.5313,0.5541,-1.5763,-0.9145,-0.5455,-0.1619,0.5687,1.0011,5000
"theta[144]",-0.9441,0.4713,-1.8327,-1.274,-0.9481,-0.6316,-0.0016,1.0008,5000
"theta[145]",0.906,0.7119,-0.4021,0.4176,0.8617,1.3592,2.4194,1.0027,780
"theta[146]",-0.1436,0.5396,-1.1207,-0.5212,-0.1628,0.1949,0.9756,1.0022,1100
"theta[147]",0.9484,0.5992,-0.1515,0.5275,0.925,1.3551,2.1801,1.0008,5000
"theta[148]",0.7976,0.7438,-0.574,0.2893,0.7347,1.2497,2.3858,1.0008,5000
"theta[149]",0.6614,0.5536,-0.4073,0.2907,0.6552,1.0172,1.7611,1.0013,3100
"theta[150]",1.3267,0.6583,0.0853,0.8853,1.3076,1.7559,2.6446,1.0047,390
"theta[151]",0.3971,0.5625,-0.6356,0.004,0.377,0.7619,1.5488,1.0014,2300
"theta[152]",1.3394,0.5865,0.2454,0.9401,1.3174,1.7288,2.528,1.0011,5000
"theta[153]",-0.9069,0.4772,-1.7967,-1.2323,-0.9301,-0.5934,0.0856,1.0018,1500
"theta[154]",0.8673,0.7482,-0.5074,0.3408,0.8477,1.3477,2.4062,1.0018,1500
"theta[155]",-0.0048,0.5497,-1.0367,-0.3818,-0.0178,0.3584,1.1119,1.0034,580
"theta[156]",-0.6258,0.4655,-1.5173,-0.9403,-0.6343,-0.3206,0.3129,1.0008,5000
"theta[157]",-0.4001,0.5014,-1.3391,-0.7459,-0.4041,-0.07,0.6058,1.0025,890
"theta[158]",-0.2762,0.5196,-1.2504,-0.6322,-0.294,0.0671,0.7826,1.0011,4900
"theta[159]",-1.0662,0.4906,-2.0094,-1.4045,-1.0762,-0.7316,-0.0875,1.0008,5000
"theta[160]",-0.9955,0.4377,-1.833,-1.2992,-1.0044,-0.7032,-0.1014,1.0008,5000
"theta[161]",1.0259,0.6695,-0.275,0.5658,1.0077,1.4649,2.3819,1.0032,830
"theta[162]",-0.0356,0.5456,-1.0555,-0.4004,-0.0438,0.3134,1.0743,1.0008,5000
"theta[163]",0.134,0.5672,-0.9273,-0.2692,0.1103,0.5188,1.2741,1.0009,5000
"theta[164]",-1.3496,0.4719,-2.2654,-1.6693,-1.3576,-1.0393,-0.3871,1.0024,950
"theta[165]",-0.7437,0.5101,-1.7387,-1.0832,-0.7491,-0.4054,0.2879,1.0011,5000
"theta[166]",1.6387,0.733,0.2889,1.139,1.6163,2.0926,3.1913,1.0019,1400
"theta[167]",0.4516,0.6477,-0.6951,-0.0103,0.4177,0.8686,1.803,1.0009,5000
