"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[183]",-1.12,0.4336,-2.0368,-1.3966,-1.1157,-0.8222,-0.2998,1,1500
"theta[184]",-0.6935,0.3965,-1.4532,-0.9586,-0.7008,-0.426,0.1015,1.0005,1500
"theta[185]",-0.6796,0.3894,-1.4559,-0.934,-0.6819,-0.4214,0.0737,1.0021,950
"theta[186]",1.2114,0.4078,0.4402,0.928,1.1945,1.4918,2.0333,1.0002,1500
"theta[187]",1.5205,0.5345,0.6101,1.1542,1.4764,1.8519,2.6479,1.0068,970
"theta[188]",-2.0613,0.4669,-2.992,-2.3564,-2.0528,-1.7572,-1.1806,1.0005,1500
"theta[189]",1.0629,0.3944,0.3392,0.7966,1.0485,1.3157,1.8951,1.0005,1500
"theta[190]",-0.3306,0.3462,-1.0267,-0.5571,-0.3263,-0.1056,0.3195,1.0013,1500
"theta[191]",0.0817,0.3539,-0.6276,-0.155,0.0781,0.3099,0.827,1.0012,1500
"theta[192]",0.061,0.3598,-0.6792,-0.1809,0.0663,0.3053,0.7484,1.0001,1500
"theta[193]",-0.5207,0.3839,-1.2778,-0.7673,-0.5108,-0.2626,0.2046,1.0004,1500
"theta[194]",-0.4525,0.3638,-1.158,-0.6948,-0.4502,-0.1976,0.2247,1.0012,1500
"theta[195]",-0.5077,0.3751,-1.297,-0.7486,-0.4886,-0.2565,0.1943,1.0016,1300
"theta[196]",-0.0172,0.385,-0.8011,-0.2752,-0.0085,0.2437,0.7145,1.0033,840
"theta[197]",-0.6956,0.3853,-1.4635,-0.9559,-0.6866,-0.4324,0.048,1.0068,290
"theta[198]",-0.223,0.3549,-0.9825,-0.4513,-0.2286,0.0149,0.4534,1.0009,1500
"theta[199]",-1.2252,0.4016,-2.035,-1.4939,-1.2165,-0.9415,-0.4674,1.0013,1500
"theta[200]",-0.1266,0.3564,-0.8169,-0.3478,-0.1231,0.1094,0.5594,1.0008,1500
"theta[201]",-0.0902,0.3671,-0.8129,-0.3431,-0.081,0.16,0.6304,1.001,1500
"theta[202]",-1.2085,0.4365,-2.0809,-1.4961,-1.184,-0.9047,-0.3949,1.0016,1200
"theta[203]",-0.0232,0.356,-0.7709,-0.2483,-0.0186,0.2202,0.657,1.0002,1500
"theta[204]",-0.2224,0.3291,-0.8877,-0.4258,-0.2276,0.0014,0.4012,1.0016,1300
"theta[205]",-0.8416,0.3895,-1.6394,-1.0942,-0.8395,-0.5781,-0.0903,1.0001,1500
"theta[206]",-0.1525,0.336,-0.8091,-0.3764,-0.145,0.0759,0.4798,1.0011,1500
"theta[207]",-0.1238,0.3518,-0.8247,-0.3624,-0.1295,0.1108,0.5554,1.0003,1500
"theta[208]",1.222,0.4701,0.3951,0.9169,1.1905,1.5109,2.2393,1.0047,470
"theta[209]",0.6511,0.3947,-0.0533,0.3656,0.633,0.9093,1.422,1.0011,1500
"theta[210]",0.2014,0.3374,-0.4483,-0.0067,0.1908,0.4192,0.8747,1.0011,1500
"theta[211]",-0.669,0.3907,-1.4377,-0.936,-0.6688,-0.4146,0.1094,1.0011,1500
"theta[212]",0.9337,0.3768,0.2361,0.6856,0.9267,1.1747,1.7127,1.0018,1100
"theta[213]",0.4056,0.4217,-0.4166,0.1228,0.3959,0.6892,1.2496,1.0017,1200
"theta[214]",-0.5348,0.371,-1.2823,-0.7787,-0.5223,-0.2703,0.1528,1,1500
"theta[215]",0.4559,0.3666,-0.2491,0.215,0.4581,0.6886,1.205,1.0046,430
"theta[216]",0.4026,0.4086,-0.3581,0.12,0.3873,0.6752,1.2612,1.001,1500
"theta[217]",-1.1652,0.4217,-2.014,-1.4416,-1.1584,-0.8771,-0.3788,1.0012,1500
"theta[218]",-0.2595,0.3524,-0.9404,-0.4895,-0.2632,-0.0173,0.4512,1.0001,1500
"theta[219]",0.0702,0.3577,-0.6311,-0.1611,0.0759,0.2967,0.7771,1.0003,1500
"theta[220]",-0.147,0.3659,-0.8978,-0.3989,-0.1316,0.1089,0.5309,1,1500
"theta[221]",1.6363,0.5314,0.7165,1.2598,1.5741,1.9758,2.787,1.0003,1500
"theta[222]",0.2102,0.3321,-0.4421,-0.0159,0.1997,0.4388,0.8701,1.0034,590
"theta[223]",-0.065,0.339,-0.7366,-0.2938,-0.0549,0.1606,0.6073,1.0016,1300
"theta[224]",0.3218,0.3257,-0.3068,0.1086,0.318,0.5347,0.9798,1,1500
"theta[225]",1.1776,0.4581,0.346,0.8671,1.1586,1.4797,2.1706,1.0001,1500
"theta[226]",-0.5052,0.349,-1.2283,-0.7291,-0.4903,-0.2706,0.1637,1.0013,1500
"theta[227]",-0.8006,0.3804,-1.5959,-1.0401,-0.7854,-0.5419,-0.0947,1.0043,710
